id,game,category,number,name,location,era,requirement,description
ww-heart-24,ww,coeur,24,Quart de cœur n°24,Toute boîte aux lettres,N/A,20 Plumes Dorées,"Donnez 20 Plumes Dorées au garde devant la chambre du Chef Rito, puis attendez la lettre de sa petite amie."
ww-heart-25,ww,coeur,25,Quart de cœur n°25,Plateforme de Contrôle Aérien,N/A,Feuille Deku,Réglez le vent et utilisez les cyclones pour réussir le Concours de l'Homme-Oiseau ; une jauge de magie améliorée aide beaucoup.
ww-heart-26,ww,coeur,26,Quart de cœur n°26,Île de la Bombe,N/A,Bombes,"Faites exploser le rocher central pour révéler une grotte, neutralisez les Magmenta qui bloquent le passage, puis ouvrez le coffre."
ww-heart-27,ww,coeur,27,Quart de cœur n°27,Havre de la Forêt,N/A,Charte au trésor n°31,Utilisez la charte pour localiser et remonter le trésor contenant le quart de cœur.
ww-heart-28,ww,coeur,28,Quart de cœur n°28,Récif aux Trois Yeux,N/A,Charte au trésor n°38,Repérez le point lumineux indiqué par la charte et remontez le trésor.
ww-heart-29,ww,coeur,29,Quart de cœur n°29,Île de l'Étoile,N/A,Bombes,"Faites exploser le rocher menant à une grotte secrète, vainquez les ennemis à l'intérieur, puis ouvrez le coffre."
ww-heart-30,ww,coeur,30,Quart de cœur n°30,Île Mercantîle,N/A,Aucune,"Achetez et plantez 14 pots de fleurs chez Zunari, répartis sur l'île, puis parlez à l'homme assis sur le banc."
ww-heart-31,ww,coeur,31,Quart de cœur n°31,Île du Rocher-Épine,N/A,950 rubis,Achetez directement ce quart de cœur au bateau-boutique du Barterie masqué qui navigue autour de l'île.
ww-heart-32,ww,coeur,32,Quart de cœur n°32,Île du Rocher-Épine,N/A,Canon,Coulez les deux navires ennemis qui patrouillent autour de l'île et récupérez leur butin.
ww-heart-33,ww,coeur,33,Quart de cœur n°33,Île de la Fée du Sud,N/A,Charte au trésor n°4,Utilisez la charte pour localiser et remonter le trésor englouti.
ww-heart-34,ww,coeur,34,Quart de cœur n°34,Île de la Griffe,N/A,Charte au trésor n°30,Utilisez la charte pour localiser et remonter un second trésor sur cette île.
ww-heart-35,ww,coeur,35,Quart de cœur n°35,Île du Grand Poisson,N/A,Statue du Gourou,"Récompense finale de la Séquence des Marchands Ambulants, après avoir échangé la Statue du Gourou."
ww-heart-36,ww,coeur,36,Quart de cœur n°36,N'importe où,N/A,Eau de Forêt,Arrosez le tout dernier Arbre Flétri restant avec de l'Eau de Forêt pour qu'il libère le quart de cœur.
ww-heart-37,ww,coeur,37,Quart de cœur n°37,Île Mercantîle,N/A,Flèches de Feu,"Activez le moulin (interrupteur en haut de l'échelle), grimpez dessus lorsqu'il tourne, puis tirez une Flèche de Feu dans le phare pour le rallumer et parler à Kreeb."
ww-heart-38,ww,coeur,38,Quart de cœur n°38,Île Mercantîle,N/A,"Flèches de Feu, Feuille Deku","Une fois le phare rallumé, planez avec la Feuille Deku jusqu'au petit îlot où un coffre nocturne est apparu."
ww-heart-39,ww,coeur,39,Quart de cœur n°39,Île Mercantîle,N/A,Aucune,"Postez la lettre de Maggie à Moe, récupérez sa réponse auprès d'Ilari au café, puis rapportez-la à Maggie."
ww-heart-40,ww,coeur,40,Quart de cœur n°40,Île du Rocher-Épine,N/A,Charte au trésor n°2,Utilisez la charte pour localiser et remonter le trésor englouti.
ww-heart-41,ww,coeur,41,Quart de cœur n°41,Île Accalmie,N/A,Appât Universel,"Portez le grand cochon noir de l'autre côté du pont, puis jetez de l'Appât Universel sur la terre meuble pour qu'il déterre le quart de cœur."
ww-heart-42,ww,coeur,42,Quart de cœur n°42,Île de la Bombe,N/A,Charte au trésor n°20,Utilisez la charte pour localiser et remonter le trésor englouti.
ww-heart-43,ww,coeur,43,Quart de cœur n°43,Île de la Fée Épineuse,N/A,Charte au trésor n°5,Utilisez la charte pour localiser et remonter le trésor englouti.
ww-heart-44,ww,coeur,44,Quart de cœur n°44,Récif aux Deux Yeux,N/A,Charte au trésor n°46,Utilisez la charte pour localiser le dernier trésor englouti du jeu (sur GameCube : récompense des 50 étages du Labyrinthe Sauvage à la place).
